# Start Time         End Time			Quality
2017-01-01/09:10:00,2017-01-01/09:11:30,1
2017-01-01/09:47:00,2017-01-01/09:48:30,3
2017-01-03/11:43:00,2017-01-03/11:44:00,1
2017-01-04/05:33:00,2017-01-04/05:34:30,1
2017-01-05/05:01:30,2017-01-05/05:02:30,1
2017-01-15/06:42:30,2017-01-15/06:43:30,2
2017-01-15/06:46:30,2017-01-15/06:47:30,1
2017-01-18/05:38:30,2017-01-18/05:39:00,1
2017-01-26/08:37:00,2017-01-26/08:40:30,3
2017-01-31/09:45:30,2017-01-31/09:47:00,1
2017-01-31/10:06:30,2017-01-31/10:07:30,1
2017-10-01/00:25:00,2017-10-01/00:26:00,1
2017-10-01/00:34:00,2017-10-01/00:35:00,2
2017-10-03/20:33:00,2017-10-03/20:39:00,1
2017-10-03/20:51:00,2017-10-03/20:53:30,1
2017-10-04/02:27:30,2017-10-04/02:29:30,1
2017-10-04/02:55:00,2017-10-04/02:57:00,1
2017-10-12/07:26:00,2017-10-12/07:27:00,1
2017-10-12/13:23:00,2017-10-12/13:23:30,1
2017-10-12/13:43:30,2017-10-12/13:45:30,3
2017-10-12/15:22:00,2017-10-12/15:23:00,1
2017-10-12/23:17:30,2017-10-12/23:18:30,2
2017-10-12/23:28:30,2017-10-12/23:29:30,1
2017-10-12/23:36:00,2017-10-12/23:37:00,1
2017-10-13/01:43:30,2017-10-13/01:44:00,1
2017-10-13/03:27:00,2017-10-13/03:28:00,1
2017-10-13/08:00:30,2017-10-13/08:01:30,1
2017-10-13/08:59:30,2017-10-13/09:00:00,1
2017-10-15/05:32:00,2017-10-15/05:34:00,1
2017-10-15/05:39:00,2017-10-15/05:40:00,1
2017-10-15/07:12:30,2017-10-15/07:14:00,1
2017-10-15/07:19:00,2017-10-15/07:20:30,2
2017-10-15/07:24:30,2017-10-15/07:26:00,1
2017-10-16/01:06:30,2017-10-16/01:08:00,3
2017-10-16/01:33:30,2017-10-16/01:35:30,1
2017-10-18/01:38:30,2017-10-18/01:40:00,1
2017-10-18/04:33:30,2017-10-18/04:34:30,1
2017-10-18/07:16:30,2017-10-18/07:17:30,1
2017-10-18/09:19:30,2017-10-18/09:21:30,1
2017-10-18/12:46:00,2017-10-18/12:48:00,3
2017-10-19/00:56:30,2017-10-19/00:57:00,1
2017-10-21/14:14:30,2017-10-21/14:15:00,3
2017-10-21/20:42:00,2017-10-21/20:43:00,1
2017-10-21/22:00:00,2017-10-21/22:01:00,1
2017-10-21/22:10:00,2017-10-21/22:13:00,1
2017-10-21/22:16:30,2017-10-21/22:18:30,2
2017-10-21/22:41:30,2017-10-21/22:42:30,1
2017-10-21/22:45:00,2017-10-21/22:46:00,1
2017-10-21/23:13:00,2017-10-21/23:13:30,2
2017-10-24/20:03:00,2017-10-24/20:03:30,2
2017-10-30/04:24:00,2017-10-30/04:25:30,1
2017-10-30/04:38:30,2017-10-30/04:40:00,1
2017-10-30/05:08:00,2017-10-30/05:10:00,1
2017-10-30/05:30:00,2017-10-30/05:32:30,1
2017-11-02/04:26:30,2017-11-02/04:27:00,1
2017-11-02/06:04:30,2017-11-02/06:05:30,1
2017-11-02/08:29:00,2017-11-02/08:29:30,1
2017-11-05/00:58:30,2017-11-05/00:59:30,1
2017-11-14/19:56:30,2017-11-14/19:57:30,2
2017-11-16/12:27:30,2017-11-16/12:28:00,3
2017-11-16/12:39:00,2017-11-16/12:40:30,1
2017-11-16/13:51:30,2017-11-16/13:52:30,1
2017-11-17/12:21:30,2017-11-17/12:22:00,1
2017-11-19/12:10:00,2017-11-19/12:12:30,3
2017-11-20/07:38:00,2017-11-20/07:42:30,3
2017-11-20/07:44:30,2017-11-20/07:47:00,3
2017-11-22/04:40:00,2017-11-22/04:42:00,1
2017-11-25/00:37:30,2017-11-25/00:38:00,1
2017-11-25/00:51:30,2017-11-25/00:52:20,1
2017-11-25/00:53:10,2017-11-25/00:53:30,1
2017-11-25/01:02:00,2017-11-25/01:03:00,1
2017-11-25/01:06:00,2017-11-25/01:07:00,1
2017-11-25/01:25:30,2017-11-25/01:26:30,1
2017-11-25/23:35:00,2017-11-25/23:55:00,1
2017-11-28/18:00:30,2017-11-28/18:02:00,1
2017-12-10/00:59:30,2017-12-10/01:01:00,1
2017-12-10/01:06:30,2017-12-10/01:08:00,3
2017-12-12/03:33:00,2017-12-12/03:34:00,1
2017-12-14/22:01:00,2017-12-14/22:02:30,1
2017-12-14/22:06:00,2017-12-14/22:10:00,1
2017-12-15/15:02:00,2017-12-15/15:04:00,1
2017-12-17/19:19:00,2017-12-17/19:20:30,3
2017-12-23/10:44:30,2017-12-23/10:45:00,1
2017-12-23/11:31:00,2017-12-23/11:34:00,1
2017-12-26/22:08:00,2017-12-26/22:10:30,1
2017-12-29/00:19:30,2017-12-29/00:20:00,1
